StoreID,PhoneNumber,Street,City,State,Zip
1,1-(862)496-8299,"9934 Scofield Avenue",Newark,"New Jersey",7188
2,1-(315)965-9214,"09 8th Way",Syracuse,"New York",13217
3,1-(239)323-9486,"0 Shelley Road",Naples,Florida,33963
4,1-(404)471-7681,"03046 American Ash Terrace",Atlanta,Georgia,31132
5,1-(303)207-7154,"91836 Loftsgordon Junction",Denver,Colorado,80299
6,1-(816)526-2211,"9300 Autumn Leaf Terrace","Kansas City",Missouri,64179
7,1-(682)790-9981,"0 Butterfield Place","Fort Worth",Texas,76178
8,1-(260)486-5414,"3999 Del Mar Road","Fort Wayne",Indiana,46862
9,1-(214)477-4318,"2 Vahlen Parkway",Dallas,Texas,75260
10,1-(724)635-7284,"6748 Helena Avenue","New Castle",Pennsylvania,16107
